BOAMP_AVIS_NUM,D_21_01_Annexed4_Infructueux,D_21_02_Annexed4_Raisonstechniques,D_21_03_Annexed4_Raisonsartistiques,D_21_04_Annexed4_Raisonsexclusivites,D_21_05_Annexed4_Proprieteintellectuelle,D_21_06_Annexed4_Horsscope,D_21_07_Annexed4_Explication
18-163941,False,False,False,False,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Un avis de concession n'est pas requis pour cette procédure dont le seuil est inférieur à 5 548 000 euroHT ( estimation = 4 450 000 euro), toutefois, un avis de concession a été publié le 24/05/2018 sous le N°18-229634-001 (Nous accusons réception de votre avis, auquel a été attribué le numéro de référence interne 18-229634-001)</EXPLICATION>"
19-19136,False,False,False,False,,True,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">ENEDIS et EDF bénéficient de droits exclusifs consacrés par la législation nationale (articles L. 111-54, L. 121-5 et L. 334-3 du code de l'énergie)</EXPLICATION>"
