BOAMP_AVIS_NUM,D_21_01_Annexed4_Infructueux,D_21_02_Annexed4_Raisonstechniques,D_21_03_Annexed4_Raisonsartistiques,D_21_04_Annexed4_Raisonsexclusivites,D_21_05_Annexed4_Proprieteintellectuelle,D_21_06_Annexed4_Horsscope,D_21_07_Annexed4_Explication
19-134783,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">En application des dispositions de l'article L.3213-1 du Code de la Commande Publique, les contrats conclus par des pouvoirs adjudicateurs sont soumis aux règles applicables aux ""autres contrats de concession"" (articles L.3222-1 et suivants du code de la Commande publique), lorsqu'ils sont conclus  avec un opérateur économique qui bénéficie, en vertu d'une disposition légalement prise, d'un droit exclusif, à condition que cette disposition soit compatible avec le Traité sur le fonctionnement de l'Union européenne. Les dispositions législatives des articles L.111-52 et L.121-5 du code de l'Energie attribuent aux sociétés Enedis et EDF des droits exclusifs au sens de l'article 106 du traité sur le fonctionnement de l'Union européenne. </EXPLICATION>"
19-142551,True,False,False,False,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Compte tenu de labsence doffre, cette procédure de concession de service public a été déclarée infructueuse.</EXPLICATION>"
